player,debut,last_game,pos,teams,nickname,lastname,firstname
Curt Roberts,1947,1948,Infielder,Kansas City Monarchs,NA,Roberts,Curt
Elihu Roberts,1916,1920,Outfielder,"
Bacharach Giants, Hilldale Club
",NA,Roberts,Elihu
Harry  Roberts,1922,1928,Outfielder,"
Harrisburg Giants, Baltimore Black Sox, Homestead Grays
","""Rags""",Roberts,Harry
Roy Roberts,1916,1934,Pitcher,"
Bacharach Giants, Columbus Buckeyes
",NA,Roberts,Roy
Charles Robertson,1919,1938,Pitcher,"
Philadelphia Giants, Birmingham Black Barons, St. Louis Stars, Atlanta Black Crackers, Washington Black Senators
",NA,Robertson,Charles
Al Robinson,1905,1912,First baseman,"
Brooklyn Royal Giants, Cuban X-Giants, Cuban Giants, Matanzas
",NA,Robinson,Al
Booker Robinson,1944,1944,Infielder,"
Atlanta Black Crackers, Newark Eagles
",NA,Robinson,Booker
Frazier Robinson,1939,1950,Catcher,"
Kansas City Monarchs, New York Black Yankees, Baltimore Elite Giants
",NA,Robinson,Frazier
Jackie Robinson,1945,1945,Shortstop,Kansas City Monarchs,NA,Robinson,Jackie
Jacob Robinson,1947,1947,Third baseman,Chicago American Giants,NA,Robinson,Jacob
James Robinson,1952,1958,Second baseman,"
Philadelphia Stars, Indianapolis Clowns, Kansas City Monarchs
",NA,Robinson,James
James D. Robinson,1898,1905,Pitcher,"
Cuban X-Giants, Brooklyn Royal Giants
",NA,Robinson,James
Neal Robinson,1934,1950,Outfielder,"
Homestead Grays, Cincinnati Tigers, Memphis Red Sox
",NA,Robinson,Neal
Norman Robinson,1939,1950,Outfielder,"
Baltimore Elite Giants, Birmingham Black Barons
",NA,Robinson,Norman
Ray Robinson,1938,1947,Pitcher,"
Newark Eagles, Cincinnati Buckeyes, Baltimore Elite Giants
",NA,Robinson,Ray
Robert  Robinson,1902,1911,Catcher,"
Chicago Columbia Giants, Leland Giants, Chicago Union Giants, Kansas City Giants","""Ginney""",Robinson,Robert
Walter  Robinson,1925,1927,Shortstop,"
Hilldale Club, Lincoln Giants, Harrisburg Giants
","""Newt""",Robinson,Walter
Walter  Robinson,1937,1944,Infielder,"
Jacksonville Red Caps, Cleveland Bears, Atlanta Black Crackers, New York Black Yankees
","""Skin Down""",Robinson,Walter
William L.  Robinson,1925,1942,Third baseman,"
Indianapolis ABCs, Chicago American Giants, Birmingham Black Barons, Memphis Red Sox, Detroit Stars, St. Louis Stars
","""Bobby""",Robinson,William
Antonio  Rodríguez,1935,1939,Infielder,"
Cuban Stars (East), New York Cubans
","""Pollo""",Rodríguez,Antonio
Benny Rodríguez,1948,1948,Outfielder,Chicago American Giants,NA,Rodríguez,Benny
Héctor Rodríguez,1939,1944,Third baseman,New York Cubans,NA,Rodríguez,Héctor
Vicente Rodríguez,1912,1923,"
Pitcher / Catcher
","
Cuban Stars (West), Detroit Stars, Kansas City Monarchs, Cuban Stars (East)
",NA,Rodríguez,Vicente
Bullet Rogan,1917,1946,"
Pitcher / Manager
","
All Nations, Kansas City Monarchs
",NA,Rogan,Bullet
Jesse Rogers,1953,1954,Catcher,Kansas City Monarchs,NA,Rogers,Jesse
Nat Rogers,1923,1946,Right fielder,"
Harrisburg Giants, Chicago American Giants, Memphis Red Sox, Cole's American Giants
",NA,Rogers,Nat
Julio Rojo,1916,1936,Catcher,"
Cuban Stars (East), Bacharach Giants, Chicago American Giants, Baltimore Black Sox, Lincoln Giants
",NA,Rojo,Julio
Tomás Romañach,1915,1915,Shortstop,Long Branch Cubans,NA,Romañach,Tomás
Bob Romby,1946,1950,Pitcher,Baltimore Elite Giants,NA,Romby,Bob
Haywood Rose,1902,1910,First baseman,"
Chicago Columbia Giants, Chicago Union Giants, Leland Giants, St. Paul Colored Gophers, Minneapolis Keystones, Louisville White Sox
",NA,Rose,Haywood
Basilio Rosell,1926,1929,Pitcher,"
Cuban Stars (West), Cuban Stars (East)
",NA,Rosell,Basilio
Howard Ross,1924,1927,Pitcher,"
Cleveland Browns, Chicago American Giants, Indianapolis ABCs, Cleveland Elites, Cleveland Hornets
",NA,Ross,Howard
William Ross,1922,1930,Pitcher,"
Indianapolis ABCs, Washington Potomacs, St. Louis Stars, Detroit Stars, Cleveland Tigers, Homestead Grays
",NA,Ross,William
Herman  Roth,1923,1925,Catcher,"
Milwaukee Bears, Chicago American Giants, Detroit Stars, Birmingham Black Barons
","""Bobby""",Roth,Herman
Jimsey Roussell,1929,1931,Outfielder,"
Nashville Elite Giants, Birmingham Black Barons, Memphis Red Sox
",NA,Roussell,Jimsey
Joe Royall,1937,1944,Outfielder,"
Indianapolis Athletics, Jacksonville Red Caps, Cleveland Bears, New York Black Yankees
",NA,Royall,Joe
Carlos Royer,1906,1908,Pitcher,Cuban Stars (West),NA,Royer,Carlos
Charles Ruffin,1935,1946,Catcher,"
Brooklyn Eagles, Newark Eagles, Pittsburgh Crawfords, Philadelphia Stars
",NA,Ruffin,Charles
Silvino  Ruiz,1928,1941,Pitcher,"
Cuban Stars (East), New York Cubans
","""Poppa""",Ruiz,Silvino
Pythias Russ,1925,1929,Catcher,"
Memphis Red Sox, Birmingham Black Barons, Chicago American Giants
",NA,Russ,Pythias
Branch Russell,1922,1932,Outfielder,"
Kansas City Monarchs, St. Louis Stars, Cleveland Stars
",NA,Russell,Branch
Frank Russell,1943,1948,Infielder,Baltimore Elite Giants,NA,Russell,Frank
John Henry Russell,1923,1934,Second baseman,"
Memphis Red Sox, St. Louis Stars, Indianapolis ABCs, Pittsburgh Crawfords, Cleveland Red Sox, Homestead Grays
",NA,Russell,John Henry
Red Ryan,1915,1932,"
Pitcher / Outfielder
","
Atlantic City Bacharach Giants, Hilldale Daisies, Homestead Grays, Baltimore Black Sox, New York Lincoln Giants, among several others",NA,Ryan,Red
Bubby Sadler,1934,1944,Shortstop,"
Bacharach Giants, Brooklyn Eagles, Washington Black Senators, Atlanta Black Crackers
",NA,Sadler,Bubby
Wilfredo Salas,1948,1948,Pitcher,New York Cubans,NA,Salas,Wilfredo
Lázaro Salazar,1930,1943,Pitcher,"
New York Cubans, Cuban Stars (West)
",NA,Salazar,Lázaro
Harry Salmon,1920,1935,Pitcher,"
Birmingham Black Barons, Pittsburgh Keystones, Memphis Red Sox, Homestead Grays
",NA,Salmon,Harry
Ormond Sampson,1932,1941,Shortstop,"
Atlanta Black Crackers, Chicago American Giants, Cleveland Bears, Jacksonville Red Caps
",NA,Sampson,Ormond
Tommy Sampson,1940,1949,"
Second baseman / Manager
","
Birmingham Black Barons, Chicago American Giants, New York Cubans
",NA,Sampson,Tommy
Pedro San,1926,1928,Pitcher,Cuban Stars (East),NA,San,Pedro
Gonzalo Sánchez,1904,1909,Catcher,"
All Cubans, Cuban Stars (West)
",NA,Sánchez,Gonzalo
James Sanders,1956,1958,Outfielder,Kansas City Monarchs,NA,Sanders,James
Leo Sanders,1937,1942,Shortstop,"
Memphis Red Sox, Birmingham Black Barons, Kansas City Monarchs, Jacksonville Red Caps
",NA,Sanders,Leo
Estéban Santa Cruz,1908,1910,Outfielder,Cuban Stars (West),NA,Cruz,Estéban Santa
Anastasio Santaella,1935,1936,Infielder,New York Cubans,NA,Santaella,Anastasio
Carlos Manuel Santiago,1945,1946,Second baseman,"
Atlanta Black Crackers, New York Cubans
",NA,Santiago,Carlos Manuel
José Santiago,1947,1948,Pitcher,New York Cubans,NA,Santiago,José
Louis Santop,1909,1926,"
Catcher / Manager
","
Philadelphia Giants, New York Lincoln Giants, Brooklyn Royal Giants, Chicago American Giants, New York Lincoln Stars, Hilldale Daisies
",NA,Santop,Louis
Andy Sarvis,1939,1944,Pitcher,"
Cleveland Bears, Jacksonville Red Caps
",NA,Sarvis,Andy
Toad Satterfield,1907,1913,Second baseman,"
Cuban Giants, Brooklyn Royal Giants, Indianapolis ABCs
",NA,Satterfield,Toad
Augustus Saunders,1927,1932,Second baseman,"
Cleveland Hornets, Detroit Stars, Monroe Monarchs
",NA,Saunders,Augustus
Bob Saunders,1926,1926,Pitcher,"
Kansas City Monarchs, Detroit Stars
",NA,Saunders,Bob
Alfred Saylor,1943,1945,Pitcher,Birmingham Black Barons,NA,Saylor,Alfred
George Scales,1921,1948,"
Second baseman / Manager
","
Montgomery Grey Sox, Pittsburgh Keystones, St. Louis Giants, St. Louis Stars, New York Lincoln Giants, Homestead Grays, Newark Stars, Baltimore Elite Giants, New York Black Yankees, Philadelphia Stars, Birmingham Black Barons
",NA,Scales,George
Pat Scantlebury,1944,1948,Pitcher,New York Cubans,NA,Scantlebury,Pat
Joe Scotland,1909,1919,Outfielder,"
Birmingham Giants, Indianapolis ABCs, Louisville White Sox, Chicago Union Giants, Indianapolis Jewell's ABCs
",NA,Scotland,Joe
Ed Scott,1940,1952,Outfielder,Indianapolis Clowns,NA,Scott,Ed
Eugene Scott,1917,1920,Catcher,"Texas All Stars, Lincoln Giants, Detroit Stars
",NA,Scott,Eugene
Joe B. Scott,1936,1956,Outfielder,"
New York Black Yankees, Pittsburgh Crawfords, Chicago American Giants, Memphis Red Sox, Zulu Cannibal Giants
",NA,Scott,Joe
John Scott,1944,1948,Outfielder,"
Birmingham Black Barons, Kansas City Monarchs
",NA,Scott,John
Robert Scott,1919,1923,Outfielder,"
St. Louis Giants, Brooklyn Royal Giants
",NA,Scott,Robert
J. Robert Scott,1946,1950,Pitcher,New York Black Yankees,NA,Scott,J. Robert
Eugene Scruggs,1957,1958,Pitcher,"
Detroit Stars, Kansas City Monarchs
",NA,Scruggs,Eugene
Dick Seay,1926,1947,Second baseman,"
Baltimore Black Sox, Newark Stars, Brooklyn Royal Giants, Philadelphia Stars, Pittsburgh Crawfords, New York Black Yankees, Newark Eagles
",NA,Seay,Dick
John Claud Seagraves,1937,1937,Outfielder,Indianapolis Athletics,NA,Seagraves,John Claud
Sam Segraves,1942,1943,Outfielder,"
Cleveland Buckeyes, Memphis Red Sox, Cincinnati Clowns
",NA,Segraves,Sam
William Selden,1887,1899,Pitcher,"
Boston Resolutes, Trenton Cuban Giants, York Monarchs, New York Gorhams, Cuban Giants, Cuban X-Giants
",NA,Selden,William
William  Selden,1910,1914,Infielder,"
Chicago Giants, French Lick Plutos, Chicago American Giants, Indianapolis ABCs
","""Bee""",Selden,William
Barney Serrell,1942,1945,Second baseman,Kansas City Monarchs,NA,Serrell,Barney
John Shackelford,1924,1930,Outfielder,"
Cleveland Browns, Harrisburg Giants, Chicago American Giants, Birmingham Black Barons
",NA,Shackelford,John
Jimmy Shamberger,1938,1940,Third baseman,"
Atlanta Black Crackers, Indianapolis Crawfords
",NA,Shamberger,Jimmy
Pepper Sharpe,1943,1948,Pitcher,"
Memphis Red Sox, Chicago American Giants
",NA,Sharpe,Pepper
Ted Shaw,1928,1930,Pitcher,Detroit Stars,NA,Shaw,Ted
James Shawler,1908,1913,Outfielder,"
Indianapolis ABCs, Chicago Union Giants, Minneapolis Keystones
",NA,Shawler,James
Willie Sheelor,1952,1955,,"
Chicago American Giants, Memphis Red Sox
",NA,Sheelor,Willie
Freddie Shepard,1943,1946,Outfielder,"
Baltimore Elite Giants, Atlanta Black Crackers, Birmingham Black Barons
",NA,Shepard,Freddie
Ray Sheppard,1924,1932,Infielder,"
Indianapolis ABCs, Cleveland Browns, Birmingham Black Barons, Detroit Stars, Detroit Wolves, Monroe Monarchs
",NA,Sheppard,Ray
Jimmy Shields,1928,1929,Pitcher,Bacharach Giants,NA,Shields,Jimmy
George Shively,1910,1924,Outfielder,"
West Baden Sprudels, Indianapolis ABCs, Atlantic City Bacharach Giants, Brooklyn Royal Giants, Washington Potomacs
",NA,Shively,George
Ralph Shropshire,1937,1937,Catcher,St. Louis Stars,NA,Shropshire,Ralph
Felipe Sierra,1921,1932,Second baseman,"
All Cubans, Cuban Stars (West), Cuban Stars (East)
",NA,Sierra,Felipe
Pedro Sierra,1954,1958,Pitcher,"
Indianapolis Clowns, Detroit Stars
",NA,Sierra,Pedro
Arthur Simmons,1957,1958,Pitcher,Kansas City Monarchs,NA,Simmons,Arthur
Hubert Simmons,1950,1951,Pitcher,Baltimore Elite Giants,NA,Simmons,Hubert
Silas Simmons,1913,1929,"
Pitcher / Outfielder
","
Homestead Grays, New York Lincoln Giants, Cuban Stars (East)
",NA,Simmons,Silas
Bill Simms,1936,1943,Outfielder,"
Monroe Monarchs, Cincinnati Tigers, Kansas City Monarchs, Chicago American Giants
",NA,Simms,Bill
Clarence Simpson,1933,1933,Outfielder,"
Cleveland Giants, Akron Black Tyrites
",NA,Simpson,Clarence
Dennis Simpson,1933,1933,First baseman,Baltimore Sox,NA,Simpson,Dennis
Harry Simpson,1946,1948,Outfielder,Philadelphia Stars,NA,Simpson,Harry
Herb Simpson,1951,1951,First baseman,"
Chicago American Giants, Seattle Steelheads, Birmingham Black Barons
",NA,Simpson,Herb
Lawrence Simpson,1913,1917,Pitcher,"
West Baden Sprudels, Indianapolis ABCs, Chicago Union Giants
",NA,Simpson,Lawrence
Orville Singer,1921,1932,Infielder,"
New York Lincoln Giants, Cleveland Browns, Cleveland Tigers, Cleveland Cubs, Cleveland Stars
",NA,Singer,Orville
Owen Smaulding,1927,1932,Pitcher,"
Kansas City Monarchs, Chicago American Giants, Cleveland Tigers, Birmingham Black Barons, Gilkerson's Union Giants
",NA,Smaulding,Owen
Al Smith,1946,1948,Third baseman,Cleveland Buckeyes,NA,Smith,Al
Bob Smith,1930,1944,Catcher,"
Birmingham Black Barons, Cleveland Cubs, Nashville Elite Giants, Chicago American Giants, Memphis Red Sox, St. Louis Stars, New Orleans–St. Louis Stars
",NA,Smith,Bob
Charles  Smith,1925,1931,"
Outfielder / Second baseman
","
Philadelphia Giants, Brooklyn Royal Giants, New York Lincoln Giants
","""Chino""",Smith,Charles
Clarence Smith,1921,1933,"
Right fielder / Manager
","
Columbus Buckeyes, Detroit Stars, Atlantic City Bacharach Giants, Birmingham Black Barons, Baltimore Black Sox, Chicago American Giants, Cleveland Cubs
",NA,Smith,Clarence
Cleo Smith,1922,1928,Infielder,"
Baltimore Black Sox, Lincoln Giants, Newark Stars, Homestead Grays, Harrisburg Giants, Philadelphia Tigers
",NA,Smith,Cleo
Ernest Smith,1937,1942,Outfielder,"
Chicago American Giants, Kansas City Monarchs, Homestead Grays
",NA,Smith,Ernest
Ernest E. Smith,19__,19__,,Baltimore Elite Giants,NA,Smith,Ernest
Eugene F. Smith,1939,1950,Pitcher,"
St. Louis Stars, Kansas City Monarchs, New York Black Yankees, Pittsburgh Crawfords, Homestead Grays, Cleveland Buckeyes, Chicago American Giants, among several others",NA,Smith,Eugene
Eugene L. Smith,1941,1946,Infielder,"
Jacksonville Red Caps, Cleveland Buckeyes, Indianapolis Clowns
",NA,Smith,Eugene
Ford Smith,1939,1948,Pitcher,"
Chicago American Giants, Indianapolis Crawfords, Kansas City Monarchs
",NA,Smith,Ford
George Smith,1950,1951,Outfielder,Chicago American Giants,NA,Smith,George
Henry Smith,1942,1945,Second baseman,"
Jacksonville Red Caps, Chicago American Giants, Indianapolis/Cincinnati Clowns
",NA,Smith,Henry
Herb Smith,1929,1932,Pitcher,"
Baltimore Black Sox, Philadelphia Stars
",NA,Smith,Herb
Herbert Smith,1920,1924,"
Pitcher / Outfielder
","
Kansas City Monarchs, St. Louis Giants, Chicago Giants, Washington Potomacs
",NA,Smith,Herbert
Hilton Smith,1932,1948,Pitcher,"
Monroe Monarchs, New Orleans Black Creoles, New Orleans Crescent Stars, Kansas City Monarchs
",NA,Smith,Hilton
Jim Smith,1943,1943,Catcher,Newark Eagles,NA,Smith,Jim
Jim Smith,1925,1930,Second baseman,Detroit Stars,NA,Smith,Jim
James  Smith,1902,1909,Infielder,"
Chicago Columbia Giants, Cuban X-Giants, Leland Giants, St. Paul Colored Gophers
","""Jimmy""",Smith,James
Johnny Smith,1940,1948,Outfielder,"
Indianapolis Crawfords, Birmingham Black Barons, Chicago American Giants, New York Black Yankees
",NA,Smith,Johnny
Milton Smith,1950,1950,Third baseman,Philadelphia Stars,NA,Smith,Milton
Milton  Smith,1925,1927,Catcher,"
St. Louis Stars, Indianapolis ABCs
","""Young Blood""",Smith,Milton
Quincy Smith,1943,1946,Outfielder,Cleveland Buckeyes,NA,Smith,Quincy
Theolic Smith,1936,1943,Pitcher,"
Pittsburgh Crawfords, St. Louis Stars, Cleveland Buckeyes
",NA,Smith,Theolic
William  Smith,1903,1914,Third baseman,"
Cuban X-Giants, Brooklyn Royal Giants, Philadelphia Quaker Giants, Cuban Giants, Illinois Giants, Philadelphia Giants, New York Black Sox, Schenectady Mohawk Giants, Brooklyn All Stars","""Big Bill""",Smith,William
William  Smith,1921,1923,Pitcher,"
Baltimore Black Sox, Harrisburg Giants
","""Dark Night""",Smith,William
Willie Smith,1938,1938,Third baseman,Newark Eagles,NA,Smith,Willie
Willie Smith,1948,1948,Pitcher,Homestead Grays,NA,Smith,Willie
Willie Smith,1958,1959,Outfielder,Birmingham Black Barons,NA,Smith,Willie
Wyman Smith,1920,1924,Outfielder,Baltimore Black Sox,NA,Smith,Wyman
Sylvester Snead,1938,1946,Infielder,"
Homestead Grays, Kansas City Monarchs, Cincinnati Clowns, New York Black Yankees
",NA,Snead,Sylvester
Felton Snow,1929,1950,Third baseman,"
Nashville Elite Giants, Columbus Elite Giants, Washington Elite Giants, Baltimore Elite Giants
",NA,Snow,Felton
Miguel Solís,1927,1940,Infielder,"
Cuban Stars (East), Cuban Stars (West), New York Cubans
",NA,Solís,Miguel
Herb Souell,1940,1950,Third baseman,Kansas City Monarchs,NA,Souell,Herb
Joe Sparks,1937,1940,Infielder,"
St. Louis Stars, Chicago American Giants
",NA,Sparks,Joe
Charlie Spearman,1919,1929,Catcher,"Fort Worth Black Panthers, Brooklyn Royal Giants, Cleveland Elites, Lincoln Giants
",NA,Spearman,Charlie
Clyde Spearman,1932,1946,Outfielder,"
Pittsburgh Crawfords, New York Black Yankees, New York Cubans, Philadelphia Stars, Chicago American Giants, Birmingham Black Barons
",NA,Spearman,Clyde
Codie Spearman,1926,1926,Outfielder,Cleveland Elites,NA,Spearman,Codie
Fred Spearman,1936,1936,Third baseman,Newark Eagles,NA,Spearman,Fred
Henry Spearman,1935,1945,Third baseman,"
New York Cubans, Newark Eagles, Homestead Grays, Pittsburgh Crawfords, Philadelphia Stars, New York Black Yankees, Washington Black Senators, Baltimore Elite Giants, Birmingham Black Barons
",NA,Spearman,Henry
Willie Spearman,1923,1929,Pitcher,"
Memphis Red Sox, Cleveland Elites, Cleveland Hornets, Nashville Elite Giants
",NA,Spearman,Willie
Joe Spencer,1942,1948,Second baseman,"
Baltimore Elite Giants, Newark Eagles, Homestead Grays, New York Black Yankees, Birmingham Black Barons, New York Cubans, Seattle Steelheads
",NA,Spencer,Joe
Johnny Spencer,1921,1922,Outfielder,"
Homestead Grays, Pittsburgh Keystones
",NA,Spencer,Johnny
Willie Spencer,1939,1940,Third baseman,"
Toledo Crawfords, Indianapolis Crawfords
",NA,Spencer,Willie
George Spriggs,1960,1960,Outfielder,Detroit–New Orleans Stars,NA,Spriggs,George
Larry St. Thomas,1943,1947,Catcher,"
Newark Eagles, New York Black Yankees
",NA,Thomas,Larry
Hulon Stamps,1924,1928,Pitcher,"
Indianapolis ABCs, Memphis Red Sox
",NA,Stamps,Hulon
Neck Stanley,1928,1948,Pitcher,"
Bacharach Giants, Hilldale Club, Lincoln Giants, Brooklyn Royal Giants, Baltimore Black Sox, New York Black Yankees, New York Cubans
",NA,Stanley,Neck
Jim Starks,1927,1946,First baseman,"
Memphis Red Sox, Kansas City Monarchs, Newark Dodgers, New York Cubans, Pittsburgh Crawfords, New York Black Yankees, Harrisburg Stars, Birmingham Black Barons
",NA,Starks,Jim
Otis Starks,1917,1937,Pitcher,"
Pennsylvania Red Caps of New York, Hilldale Club, Chicago American Giants, St. Louis Giants, Brooklyn Royal Giants, Lincoln Giants, Bacharach Giants, Brooklyn Eagles
",NA,Starks,Otis
Turkey Stearnes,1923,1942,Outfielder,"
Nashville Elite Giants, Montgomery Grey Sox, Memphis Red Sox, Detroit Stars, New York Lincoln Giants, Kansas City Monarchs, Cole's American Giants, Philadelphia Stars, Chicago American Giants
",NA,Stearnes,Turkey
Ed Steele,1942,1950,Outfielder,Birmingham Black Barons,NA,Steele,Ed
Frank Stephens,1921,1929,Pitcher,"
Toledo Tigers, Chicago American Giants, Birmingham Black Barons, Indianapolis ABCs, Cleveland Hornets, St. Louis Stars, Cleveland Tigers, Bacharach Giants
",NA,Stephens,Frank
Jake Stephens,1921,1937,Shortstop,"
Hilldale Daisies, Philadelphia Giants, Homestead Grays, Pittsburgh Crawfords, Philadelphia Stars, New York Black Yankees
",NA,Stephens,Jake
Leon Stewart,1936,1940,Pitcher,Newark Eagles,NA,Stewart,Leon
Riley Stewart,1946,1948,Pitcher,"
Chicago American Giants, Memphis Red Sox
",NA,Stewart,Riley
Tom Stirman,1909,1914,Outfielder,"Kansas City Giants, Kansas City Royal Giants",NA,Stirman,Tom
Ted Stockard,1927,1931,Infielder,"
Cleveland Hornets, Cleveland Tigers, Indianapolis ABCs
",NA,Stockard,Ted
Edward  Stone,1933,1946,Outfielder,"
Bacharach Giants, Brooklyn Eagles, Newark Eagles, New York Black Yankees, Philadelphia Stars
","""Ace""",Stone,Edward
Toni Stone,1953,1954,Second baseman,"
Indianapolis Clowns, Kansas City Monarchs
",NA,Stone,Toni
George Stovey,1886,1896,Pitcher,"
Cuban Giants, Cuban X-Giants
",NA,Stovey,George
Felton Stratton,1923,1933,Infielder,"
Milwaukee Bears, Birmingham Black Barons, Cuban Stars (West), Chicago American Giants, Nashville Elite Giants
",NA,Stratton,Felton
Sam Streeter,1921,1936,Pitcher,"
Montgomery Grey Sox, Chicago American Giants, Lincoln Giants, Birmingham Black Barons, Homestead Grays, Baltimore Black Sox, Cleveland Cubs, Pittsburgh Crawfords
",NA,Streeter,Sam
Joseph Strong,1922,1937,Pitcher,"
Cleveland Tate Stars, Milwaukee Bears, Chicago American Giants, Baltimore Black Sox, Hilldale Club, Homestead Grays, St. Louis Stars, Pittsburgh Crawfords
",NA,Strong,Joseph
Ted Strong,1937,1948,Outfielder,"
Indianapolis Athletics, Kansas City Monarchs, Chicago American Giants, Indianapolis Clowns
",NA,Strong,Ted
Tim Strothers,1908,1916,"
Catcher, First baseman
","
Leland Giants, Chicago Giants
",NA,Strothers,Tim
Mickey Stubblefield,1948,1948,Pitcher,Kansas City Monarchs,NA,Stubblefield,Mickey
José Suárez,1916,1921,Pitcher,Cuban Stars (West),NA,Suárez,José
Lonnie Summers,1938,1951,Infielder,"
Baltimore Elite Giants, Chicago American Giants
",NA,Summers,Lonnie
Tack Summers,1923,1928,Outfielder,"
Toledo Tigers, Chicago American Giants, Cleveland Elites, Cleveland Hornets, Cleveland Tigers
",NA,Summers,Tack
Pete Sunkett,1943,1945,Pitcher,Philadelphia Stars,NA,Sunkett,Pete
Alfred Surratt,1947,1952,Outfielder,"
Detroit Stars, Kansas City Monarchs
",NA,Surratt,Alfred
Antonio Susini,1921,1921,Shortstop,All Cubans,NA,Susini,Antonio
George Suttles,1918,1944,"
First baseman / Manager
","
Birmingham Black Barons, St. Louis Stars, Baltimore Black Sox, Detroit Wolves, Washington Pilots, Cole's American Giants, Newark Eagles, Indianapolis ABCs, New York Black Yankees
",NA,Suttles,George
Leroy Sutton,1940,1945,Pitcher,"
New Orleans–St. Louis Stars, Chicago American Giants, Cincinnati Clowns
",NA,Sutton,Leroy
George Sweatt,1922,1927,Second baseman,"
Kansas City Monarchs, Chicago American Giants
",NA,Sweatt,George
Doc Sykes,1914,1924,Pitcher,"
Lincoln Stars, Brooklyn Royal Giants, Lincoln Giants, Hilldale Club, Baltimore Black Sox
",NA,Sykes,Doc
Melvin Sykes,1926,1926,Outfielder,"
Hilldale Club, Lincoln Giants
",NA,Sykes,Melvin
Mickey Taborn,1946,1950,Catcher,Kansas City Monarchs,NA,Taborn,Mickey
Dangerfield Talbert,1900,1911,Third baseman,"
Chicago Union Giants, Chicago Giants, Algona Brownies, Cuban X-Giants, Leland Giants
",NA,Talbert,Dangerfield
Townsend Tapley,1933,1933,Shortstop,Akron Grays,NA,Tapley,Townsend
Roosevelt Tate,1931,1937,Outfielder,"
Knoxville Giants, Birmingham Black Barons, Nashville Elite Giants, Louisville Black Caps, Cincinnati Tigers, Chicago American Giants
",NA,Tate,Roosevelt
Goose Tatum,1941,1949,"
First baseman / Outfielder
","
Birmingham Black Barons, Indianapolis Clowns
",NA,Tatum,Goose
Ben Taylor,1910,1940,"
First baseman / Manager
","
St. Louis Giants, New York Lincoln Giants, Chicago American Giants, Indianapolis ABCs, Hilldale Daisies, Washington Potomacs, Harrisburg Giants, Baltimore Black Sox, Atlantic City Bacharach Giants, Brooklyn Eagles, Washington Black Senators, New York Cubans
",NA,Taylor,Ben
Charles Isham Taylor,1904,1922,"
Second baseman / Manager
","
Birmingham Giants, West Baden Sprudels, Indianapolis ABCs
",NA,Taylor,Charles Isham
George Taylor,1898,1906,First baseman,"
Page Fence Giants, Chicago Union Giants, Leland Giants
",NA,Taylor,George
Jelly Taylor,1934,1946,First baseman,"
Cincinnati Tigers, Memphis Red Sox
",NA,Taylor,Jelly
Jim Taylor,1904,1948,"
Infielder / Manager
","
Birmingham Giants, St. Paul Gophers, Chicago American Giants, Indianapolis ABCs, Dayton Marcos, St. Louis Stars, Detroit Stars, Nashville Elite Giants, Chicago American Giants, Homestead Grays, among several others","""Candy""",Taylor,Jim
Jim Taylor,1896,1896,Outfielder,Cuban Giants,NA,Taylor,Jim
Joseph Taylor,1937,1937,Second baseman,St. Louis Stars,NA,Taylor,Joseph
Joe Cephus Taylor,1949,1951,Outfielder,Chicago American Giants,NA,Taylor,Joe Cephus
John  Taylor,1920,1925,Pitcher,"
Chicago Giants, Lincoln Giants
","""Red""",Taylor,John
Johnny Taylor,1935,1945,Pitcher,"
New York Cubans, Pittsburgh Crawfords, Toledo Crawfords
","""Schoolboy""",Taylor,Johnny
Johnny Taylor,1903,1925,"
Pitcher / Manager
","
Birmingham Giants, West Baden Sprudels, Indianapolis ABCs, among several others","""Steel Arm""",Taylor,Johnny
LeRoy  Taylor,1925,1936,Outfielder,"
Chicago American Giants, Birmingham Black Barons, Indianapolis ABCs, Kansas City Monarchs, Homestead Grays, Cleveland Red Sox
","""Ben""",Taylor,LeRoy
Raymond Taylor,1931,1944,Catcher,"
Memphis Red Sox, Louisville Black Caps, Cleveland Buckeyes, Kansas City Monarchs
",NA,Taylor,Raymond
Ross Taylor,1939,1939,Outfielder,Toledo Crawfords,NA,Taylor,Ross
Samuel  Taylor,1952,1954,"
Catcher / Left fielder
","
Kansas City Monarchs, Indianapolis Clowns
","""Bay""",Taylor,Samuel
Ron Teasley,1948,1948,Infielder,New York Cubans,NA,Teasley,Ron
Recurvon Terán,1911,1924,Infielder,"
Cuban Stars (East), Cuban Stars (East), among several others",NA,Terán,Recurvon
Lawrence Terrell,1924,1925,Pitcher,Detroit Stars,NA,Terrell,Lawrence
Winslow Terrill,1887,1897,Infielder,"
Boston Resolutes, York Colored Monarchs, Cuban Giants, New York Gorhams, Cuban X-Giants
",NA,Terrill,Winslow
Tarcat Terry,1931,1936,Second baseman,"
Indianapolis ABCs, Homestead Grays, Cincinnati Tigers
",NA,Terry,Tarcat
Arthur Thomas,1886,1891,Catcher,Cuban Giants,NA,Thomas,Arthur
Charley Thomas,1920,1922,Catcher,Baltimore Black Sox,NA,Thomas,Charley
Clint Thomas,1920,1938,"
Outfielder / Second baseman
","
Brooklyn Royal Giants, Columbus Buckeyes, Detroit Stars, Hilldale Club, Bacharach Giants, New York Lincoln Giants, New York Harlem Stars, Indianapolis ABCs, New York Black Yankees, Newark Eagles, Philadelphia Stars
",NA,Thomas,Clint
